"","Indice","YearFixed","MonthFixed","SpeciesFixed","DateFormated","WeekDayNumber","HemisphereFixed","AgeFixed","Sex","ActivityFixed","CountryFixed","ContinentFixed","Area","LargoMetrosFixed","LargoEstandarizado","FatalFixed"
"764",804,"2012","03","WHITE_SHARK","2012/03/31",7,"South",33,"M","DIVING","AUSTRALIA","OCEANIA","Western Australia",4,"LARGO_3_4",1
"765",805,"2012","03","SPECIE_UNKNOWN","2012/03/24",7,"North",21,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"766",806,"2012","03","WHITE_SHARK","2012/03/22",5,"South",-1,"","FISHING","AUSTRALIA","OCEANIA","Western Australia",NA,"N/A",0
"767",807,"2012","03","BULL_SHARK","2012/03/20",3,"South",20,"M","SURFING","AUSTRALIA","OCEANIA","Queensland",NA,"N/A",0
"768",808,"2012","03","BULL_SHARK","2012/03/15",5,"North",61,"M","SURFING","USA","NORTH_AMERICA","Florida",1.524,"LARGO_1_2",0
"769",809,"2012","03","SPECIE_UNKNOWN","2012/03/14",4,"North",15,"F","SURFING","USA","NORTH_AMERICA","Florida",1.2192,"LARGO_1_2",0
"770",810,"2012","03","SPECIE_UNKNOWN","2012/03/14",4,"North",17,"M","SURFING","USA","NORTH_AMERICA","Florida",1.2192,"LARGO_1_2",0
"771",811,"2012","03","SPECIE_UNKNOWN","2012/03/06",3,"South",-1,"M","SURFING","NEW_ZEALAND","OCEANIA","North Island",NA,"N/A",0
"772",812,"2012","03","NURSE_SHARK","2012/03/06",3,"South",34,"F","DIVING","AUSTRALIA","OCEANIA","Victoria",0.4,"LARGO_0_1",0
"773",813,"2012","03","SPECIE_UNKNOWN","2012/03/05",2,"South",31,"M","ACTIVITY_UNKNOWN","REUNION_ISLAND","AFRICA","Saint-Benoit",NA,"N/A",0
"774",814,"2012","03","SPECIE_UNKNOWN","2012/03/04",1,"North",19,"M","SURFING","USA","NORTH_AMERICA","Florida",1.2192,"LARGO_1_2",0
"775",816,"2012","03","SPECIE_UNKNOWN","2012/03/01",5,"South",-1,"M","FISHING","CHILE","SOUTH_AMERICA","Antofagasta Province",NA,"N/A",0
"776",817,"2012","02","SPINNER_SHARK","2012/02/26",1,"North",-1,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"777",818,"2012","02","GREY_SHARK","2012/02/25",7,"South",-1,"M","FISHING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"778",819,"2012","02","WHITE_SHARK","2012/02/20",2,"South",-1,"","FISHING","SOUTH_AFRICA","AFRICA","Western Cape Province",7,"LARGO_MAS_6",0
"779",820,"2012","02","SPECIE_UNKNOWN","2012/02/06",2,"South",29,"M","SURFING","AUSTRALIA","OCEANIA","Queensland",NA,"N/A",0
"780",821,"2012","01","SPECIE_UNKNOWN","2012/01/27",6,"North",-1,"","SNORKELING","USA","NORTH_AMERICA","Hawaii",1.8288,"LARGO_1_2",0
"781",822,"2012","01","TIGER_SHARK","2012/01/19",5,"South",26,"M","SNORKELING","AUSTRALIA","OCEANIA","Western Australia",3,"LARGO_2_3",0
"782",823,"2012","01","TIGER_SHARK","2012/01/22",1,"North",-1,"M","DIVING","BAHAMAS","NORTH_AMERICA","",NA,"N/A",0
"783",824,"2012","01","BLUE_SHARK","2012/01/18",4,"North",24,"M","FISHING","TAIWAN","ASIA","Taitung ",NA,"N/A",0
"784",825,"2012","01","WHITE_SHARK","2012/01/18",4,"South",44,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",2.7,"LARGO_2_3",0
"785",826,"2012","01","BULL_SHARK","2012/01/15",1,"South",25,"M","SWIMMING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",NA,"N/A",1
"786",827,"2012","01","WHITE_SHARK","2012/01/13",6,"North",53,"M","SURFING","USA","NORTH_AMERICA","Oregon",NA,"N/A",0
"787",828,"2012","01","SPECIE_UNKNOWN","2012/01/03",3,"South",28,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",2,"LARGO_1_2",0
"788",829,"2012","01","TIGER_SHARK","2012/01/02",2,"South",34,"M","FISHING","AUSTRALIA","OCEANIA","Queensland",4,"LARGO_3_4",0
"789",830,"2011","12","SPECIE_UNKNOWN","2011/12/31",7,"North",-1,"M","ACTIVITY_UNKNOWN","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"790",832,"2011","12","SPECIE_UNKNOWN","2011/12/25",1,"South",23,"M","SURFING","ECUADOR","SOUTH_AMERICA","Santa Elena",NA,"N/A",0
"791",833,"2011","12","SPECIE_UNKNOWN","2011/12/23",6,"North",27,"M","SURFING","USA","NORTH_AMERICA","Florida",NA,"N/A",0
"792",834,"2011","12","SPECIE_UNKNOWN","2011/12/21",4,"North",-1,"M","CANOEING","USA","NORTH_AMERICA","Hawaii",2.1336,"LARGO_2_3",0
"793",835,"2011","12","SPECIE_UNKNOWN","2011/12/21",4,"South",35,"M","FISHING","SOUTH_AFRICA","AFRICA","Eastern Cape Province",NA,"N/A",0
"794",836,"2011","12","WHITE_SHARK","2011/12/11",1,"South",51,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",2.5,"LARGO_2_3",0
"795",837,"2011","12","SPECIE_UNKNOWN","2011/12/07",4,"South",-1,"M","ACTIVITY_UNKNOWN","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",NA,"N/A",0
"796",838,"2011","12","WOBBEGONG_SHARK","2011/12/07",4,"South",14,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"797",839,"2011","12","SPECIE_UNKNOWN","2011/12/06",3,"North",-1,"F","SURFING","USA","NORTH_AMERICA","Oregon",NA,"N/A",0
"798",841,"2011","12","SPECIE_UNKNOWN","2011/12/02",6,"South",63,"M","SURFING","AUSTRALIA","OCEANIA","New South Wales",NA,"N/A",0
"799",842,"2011","11","SPECIE_UNKNOWN","2011/11/29",3,"South",18,"M","SURFING","INDONESIA","ASIA","Bali",NA,"N/A",0
"800",843,"2011","11","WOBBEGONG_SHARK","2011/11/28",2,"South",10,"M","SWIMMING","AUSTRALIA","OCEANIA","Queensland",NA,"N/A",0
"801",844,"2011","11","WHITE_SHARK","2011/11/22",3,"North",-1,"M","KAYAKING","USA","NORTH_AMERICA","California",4.572,"LARGO_4_5",0
"802",845,"2011","11","SPECIE_UNKNOWN","2011/11/20",1,"South",-1,"M","DIVING","PAPUA_NEW_GUINEA","OCEANIA","East New Britain",NA,"N/A",0
"803",846,"2011","11","SPECIE_UNKNOWN","2011/11/12",7,"South",35,"M","SURFING","BRAZIL","SOUTH_AMERICA","Pernambuco",NA,"N/A",0
"804",847,"2011","11","SPECIE_UNKNOWN","2011/11/11",6,"South",42,"M","FISHING","REUNION_ISLAND","AFRICA","Bois-Blanc ",NA,"N/A",0
"805",848,"2011","10","WHITE_SHARK","2011/10/29",7,"North",27,"M","SURFING","USA","NORTH_AMERICA","California",NA,"N/A",0
"806",849,"2011","10","SPECIE_UNKNOWN","2011/10/28",6,"North",26,"M","SURFING","SCOTLAND","EUROPE","Moray",2.4384,"LARGO_2_3",0
"807",850,"2011","10","RAGGEDTOOTH_SHARK","2011/10/29",7,"South",-1,"","DIVING","SOUTH_AFRICA","AFRICA","KwaZulu-Natal",NA,"N/A",0
"808",851,"2011","10","WHITE_SHARK","2011/10/22",7,"South",32,"M","DIVING","AUSTRALIA","OCEANIA","Western Australia",3.048,"LARGO_3_4",1
"809",852,"2011","10","WHITE_SHARK","2011/10/20",5,"North",41,"M","SURFING","USA","NORTH_AMERICA","Oregon",4.572,"LARGO_4_5",0
"810",853,"2011","10","PORT_JACKSON_SHARK","2011/10/19",4,"South",50,"M","DIVING","AUSTRALIA","OCEANIA","Victoria",1,"LARGO_0_1",0
